Height (mm);Total slice surface (mm²)
146.34;56744.813
146.46;56770.368
146.58;56795.919
146.70;56821.474
146.82;56847.055
146.94;56872.615
147.06;56898.187
147.18;56923.770
147.30;56949.362
147.42;56974.948
147.54;57000.554
147.66;57026.152
147.78;57051.193
147.90;57063.961
148.02;57076.735
148.14;57089.524
148.26;57102.306
148.38;57115.082
148.50;57127.868
148.62;57140.664
148.74;57153.444
148.86;57166.243
148.98;57179.048
149.10;57191.825
149.22;57204.628
149.34;57217.422
149.46;57230.227
149.58;57243.012
149.70;57251.293
149.82;57251.293
149.94;57251.292
150.06;57251.294
150.18;57251.294
150.30;57251.292
150.42;57251.293
150.54;57251.293
150.66;57251.293
150.78;57251.293
150.90;57251.292
151.02;57251.294
151.14;57251.294
151.26;57251.292
151.38;57251.293
151.50;57251.293
151.62;57243.012
151.74;57230.227
151.86;57217.422
151.98;57204.628
152.10;57191.825
152.22;57179.049
152.34;57166.243
152.46;57153.444
152.58;57140.664
152.70;57127.868
152.82;57115.083
152.94;57102.306
153.06;57089.524
153.18;57076.735
153.30;57063.961
153.42;57051.193
153.54;57026.152
153.66;57000.554
153.78;56974.949
153.90;56949.363
154.02;56923.770
154.14;56898.187
154.26;56872.615
154.38;56847.055
154.50;56821.474
154.62;56795.920
154.74;56770.368
154.86;56744.813
154.98;56719.286
155.10;56693.742
155.22;56668.217
155.34;56638.803
155.46;56600.436
155.58;56562.093
155.70;56523.760
155.82;56485.446
155.94;56447.130
156.06;56408.843
156.18;56370.565
156.30;56332.281
156.42;56294.033
156.54;56255.800
156.66;56217.566
156.78;56179.347
156.90;56141.136
157.02;56102.956
157.14;56064.774
157.26;56017.308
157.38;55966.217
157.50;55915.162
157.62;55864.126
157.74;55813.108
157.86;55762.121
157.98;55711.150
158.10;55660.208
158.22;55609.285
158.34;55558.390
158.46;55507.505
158.58;55456.677
158.70;55405.839
158.82;55355.024
158.94;55304.257
159.06;55250.467
159.18;55186.707
159.30;55122.986
159.42;55059.304
159.54;54995.653
159.66;54932.048
159.78;54868.474
159.90;54804.936
160.02;54741.442
160.14;54677.974
160.26;54614.550
160.38;54551.155
160.50;54487.803
160.62;54424.492
160.74;54361.212
160.86;54297.970
160.98;54223.358
161.10;54147.084
161.22;54070.842
161.34;53994.673
161.46;53918.549
161.58;53842.485
161.70;53766.482
161.82;53690.517
161.94;53614.607
162.06;53538.753
162.18;53462.956
162.30;53387.222
162.42;53311.531
162.54;53235.899
162.66;53160.306
162.78;53076.059
162.90;52987.319
163.02;52898.640
163.14;52810.038
163.26;52721.509
163.38;52633.066
163.50;52544.678
163.62;52456.379
163.74;52368.150
163.86;52279.992
163.98;52191.930
164.10;52103.914
164.22;52015.977
164.34;51928.128
164.46;51840.344
164.58;51744.303
164.70;51643.240
164.82;51542.281
164.94;51441.407
165.06;51340.636
165.18;51239.967
165.30;51139.406
165.42;51038.936
165.54;50938.551
165.66;50838.280
165.78;50738.112
165.90;50638.035
166.02;50538.054
166.14;50438.169
166.26;50338.398
166.38;50227.997
166.50;50114.812
166.62;50001.746
